species_id,year,total_abundance,total_biomass_kg
DM,1977,264,7.56999999999999
DO,1977,12,0.512
DS,1977,98,3.886
NL,1977,31,
OL,1977,10,0.065
OT,1977,17,0.042
OX,1977,7,0.064
PE,1977,6,0.039
PF,1977,31,0.165
PP,1977,7,0.046
RM,1977,2,0.02
SH,1977,1,
SS,1977,1,
AH,1978,1,
DM,1978,389,14.36
DO,1978,22,0.99
DS,1978,320,34.214
NL,1978,48,5.909
OL,1978,47,1.148
OT,1978,66,1.161
OX,1978,1,
PE,1978,17,0.286
PF,1978,40,0.241
PM,1978,3,0.062
PP,1978,24,0.342
RM,1978,3,0.015
SA,1978,2,
SH,1978,1,0.089
SS,1978,8,0.13
DM,1979,209,8.919
DO,1979,31,1.33
DS,1979,204,22.024
NL,1979,30,4.14
OL,1979,46,1.551
OT,1979,68,1.523
PE,1979,17,0.349
PF,1979,19,0.128
PM,1979,6,0.142
PP,1979,20,0.287
RM,1979,6,0.05
SS,1979,2,
AB,1980,5,
CB,1980,1,
CM,1980,12,
CQ,1980,2,
DM,1980,493,21.406
DO,1980,89,4.085
DS,1980,346,40.926
DX,1980,1,
NL,1980,57,8.903
OL,1980,85,2.781
OT,1980,96,2.312
PE,1980,20,0.449
PF,1980,95,0.671
PM,1980,1,0.021
PP,1980,17,0.241
RM,1980,46,0.45
SS,1980,9,
AB,1981,7,
CB,1981,1,
CQ,1981,4,
DM,1981,559,24.086
DO,1981,123,5.74600000000001
DS,1981,354,43.659
NL,1981,63,10.286
OL,1981,55,1.798
OT,1981,65,1.587
PE,1981,43,0.884000000000001
PF,1981,59,0.422
PM,1981,16,0.299
PP,1981,20,0.279
RM,1981,29,0.313
SA,1981,11,
SS,1981,8,0.057
AB,1982,34,
AH,1982,1,
CQ,1982,8,
DM,1982,609,25.227
DO,1982,117,5.367
DS,1982,354,39.089
NL,1982,111,17.025
OL,1982,83,2.954
OT,1982,94,2.343
OX,1982,1,0.024
PC,1982,2,
PE,1982,107,2.202
PF,1982,152,1.024
PM,1982,72,1.476
PP,1982,32,0.516
RF,1982,2,0.023
RM,1982,154,1.555
SA,1982,17,
SH,1982,2,0.158
SS,1982,12,
AB,1983,41,
AH,1983,2,
CB,1983,3,
DM,1983,528,21.414
DO,1983,167,7.827
DS,1983,280,33.193
DX,1983,1,
NL,1983,98,14.729
OL,1983,65,2.248
OT,1983,86,2.124
PC,1983,3,
PE,1983,38,0.772
PF,1983,114,0.779000000000001
PG,1983,1,
PM,1983,42,0.925000000000001
PP,1983,32,0.495
RM,1983,127,1.234
SA,1983,10,
SH,1983,2,
SS,1983,12,
AB,1984,12,
AH,1984,2,
CB,1984,1,
CQ,1984,2,
DM,1984,396,15.98
DO,1984,108,5.132
DS,1984,76,9.058
NL,1984,64,9.456
OL,1984,71,2.246
OT,1984,49,1.076
OX,1984,1,0.018
PE,1984,20,0.384
PF,1984,7,0.052
PH,1984,7,0.168
PM,1984,12,0.215
PP,1984,26,0.398
PU,1984,2,
RM,1984,60,0.658
SA,1984,20,
SS,1984,15,
AB,1985,14,
AH,1985,14,
CB,1985,1,
DM,1985,667,27.146
DO,1985,225,9.975
DS,1985,98,11.811
NL,1985,45,6.102
OL,1985,94,2.954
OT,1985,62,1.368
PE,1985,51,1.018
PF,1985,1,
PH,1985,3,0.098
PM,1985,17,0.323
PP,1985,35,0.536
RM,1985,72,0.586
SA,1985,3,
SS,1985,14,
AB,1986,5,
AH,1986,19,
CB,1986,4,
DM,1986,406,17.388
DO,1986,115,5.431
DS,1986,88,10.758
DX,1986,1,
NL,1986,60,9.264
OL,1986,43,1.297
OT,1986,25,0.516
PE,1986,26,0.563
PF,1986,2,0.016
PH,1986,1,0.039
PM,1986,34,0.716
PP,1986,26,0.402
RM,1986,53,0.516
SA,1986,1,
SH,1986,1,0.055
SS,1986,12,
AB,1987,35,
AH,1987,41,
CB,1987,5,
CM,1987,1,
CV,1987,1,
DM,1987,469,19.887
DO,1987,213,10.318
DS,1987,104,12.512
NL,1987,128,19.855
OL,1987,79,2.37
OT,1987,43,0.992000000000001
PC,1987,5,
PE,1987,142,3.006
PF,1987,4,0.03
PM,1987,133,2.921
PP,1987,45,0.785
RM,1987,189,1.961
SA,1987,1,
SH,1987,5,0.369
SS,1987,20,
UP,1987,2,
UR,1987,3,
AB,1988,39,
AH,1988,26,
CB,1988,6,
DM,1988,365,15.71
DO,1988,144,7.102
DS,1988,54,6.863
DX,1988,1,
NL,1988,102,15.658
OL,1988,51,1.485
OT,1988,86,2.046
PE,1988,190,4.23099999999999
PF,1988,2,0.016
PG,1988,2,
PH,1988,1,0.033
