year,month,day,genus,species,plot_id,plot_type
1977,7,16,Neotoma,albigula,2,Control
1977,7,16,Neotoma,albigula,3,Long-term Krat Exclosure
1977,7,16,Dipodomys,merriami,2,Control
1977,7,16,Dipodomys,merriami,7,Rodent Exclosure
1977,7,16,Dipodomys,merriami,3,Long-term Krat Exclosure
1977,7,16,Perognathus,flavus,1,Spectab exclosure
1977,7,16,Peromyscus,eremicus,2,Control
1977,7,16,Dipodomys,merriami,1,Spectab exclosure
1977,7,16,Dipodomys,merriami,1,Spectab exclosure
1977,7,16,Perognathus,flavus,6,Short-term Krat Exclosure
1977,7,16,Dipodomys,spectabilis,5,Rodent Exclosure
1977,7,16,Dipodomys,merriami,7,Rodent Exclosure
1977,7,16,Dipodomys,merriami,3,Long-term Krat Exclosure
1977,7,16,Dipodomys,merriami,8,Control
1977,7,16,Dipodomys,merriami,6,Short-term Krat Exclosure
1977,7,16,Dipodomys,merriami,4,Control
1977,7,16,Dipodomys,spectabilis,3,Long-term Krat Exclosure
1977,7,16,Chaetodipus,penicillatus,2,Control
1977,7,16,Perognathus,flavus,4,Control
1977,7,17,Dipodomys,spectabilis,11,Control
1977,7,17,Dipodomys,merriami,14,Control
1977,7,17,Neotoma,albigula,15,Long-term Krat Exclosure
1977,7,17,Dipodomys,merriami,13,Short-term Krat Exclosure
1977,7,17,Sigmodon,hispidus,13,Short-term Krat Exclosure
1977,7,17,Dipodomys,merriami,9,Spectab exclosure
1977,7,17,Dipodomys,merriami,15,Long-term Krat Exclosure
1977,7,17,Dipodomys,merriami,15,Long-term Krat Exclosure
1977,7,17,Dipodomys,merriami,11,Control
1977,7,17,Chaetodipus,penicillatus,11,Control
1977,7,17,Dipodomys,spectabilis,10,Rodent Exclosure
1977,7,17,Dipodomys,merriami,15,Long-term Krat Exclosure
1977,7,17,Dipodomys,merriami,10,Rodent Exclosure
1977,7,17,Dipodomys,merriami,11,Control
1977,7,17,Dipodomys,merriami,17,Control
1977,7,17,Dipodomys,merriami,13,Short-term Krat Exclosure
1977,7,17,Onychomys,torridus,16,Rodent Exclosure
1977,7,17,Dipodomys,merriami,11,Control
1977,7,17,Neotoma,albigula,17,Control
1977,7,17,Dipodomys,merriami,11,Control
1977,7,18,Dipodomys,merriami,20,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,23,Rodent Exclosure
1977,7,18,Dipodomys,spectabilis,18,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,21,Long-term Krat Exclosure
1977,7,18,Dipodomys,merriami,18,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,22,Control
1977,7,18,Dipodomys,merriami,19,Long-term Krat Exclosure
1977,7,18,Dipodomys,merriami,18,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,20,Short-term Krat Exclosure
1977,7,18,Chaetodipus,penicillatus,12,Control
1977,7,18,Dipodomys,merriami,18,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,21,Long-term Krat Exclosure
1977,7,18,Dipodomys,merriami,12,Control
1977,7,18,Dipodomys,merriami,22,Control
1977,7,18,Dipodomys,merriami,18,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,23,Rodent Exclosure
1977,7,18,Dipodomys,merriami,20,Short-term Krat Exclosure
1977,7,18,Dipodomys,merriami,22,Control
1977,7,18,Dipodomys,spectabilis,12,Control
1977,7,18,Dipodomys,merriami,19,Long-term Krat Exclosure
1977,7,18,Peromyscus,eremicus,19,Long-term Krat Exclosure
1977,7,18,Dipodomys,merriami,23,Rodent Exclosure
1977,7,18,Dipodomys,merriami,19,Long-term Krat Exclosure
1977,8,19,Dipodomys,merriami,3,Long-term Krat Exclosure
1977,8,19,Dipodomys,merriami,7,Rodent Exclosure
1977,8,19,Dipodomys,merriami,4,Control
1977,8,19,Dipodomys,merriami,4,Control
1977,8,19,Dipodomys,merriami,7,Rodent Exclosure
1977,8,19,Dipodomys,ordii,8,Control
1977,8,19,Perognathus,flavus,2,Control
1977,8,19,Onychomys,sp.,3,Long-term Krat Exclosure
1977,8,19,Dipodomys,merriami,7,Rodent Exclosure
1977,8,19,Neotoma,albigula,2,Control
1977,8,19,Dipodomys,spectabilis,3,Long-term Krat Exclosure
1977,8,19,Perognathus,flavus,8,Control
1977,8,19,Dipodomys,merriami,8,Control
1977,8,19,Dipodomys,spectabilis,9,Spectab exclosure
1977,8,19,Spermophilus,spilosoma,4,Control
1977,8,19,Perognathus,flavus,1,Spectab exclosure
1977,8,19,Dipodomys,merriami,7,Rodent Exclosure
1977,8,19,Dipodomys,spectabilis,1,Spectab exclosure
1977,8,19,Perognathus,flavus,4,Control
1977,8,19,Dipodomys,merriami,4,Control
